question,answer_1,answer_2,answer_3,answer_4,correct_answer,Text,Troubles
"II съезд РСДРП, на котором были приняты Программа и Устав партии, состоялся",в 1898 г.,в 1902 г.,в 1903 г.,в 1904 г.,3,Россия на рубеже XIX—XX вв,
Командующий русской сухопутной армией в русско- японской войне 1904—1905 гг.,А.Н. Куропаткин,З.П. Рожественский,Р.И. Кондратенко,С.О. Макаров,1,Россия на рубеже XIX—XX вв,
Манифест «Об усовершенствовании государственного порядка» был опубликован,9 января 1905 г.,17 октября 1905 г.,11 декабря 1906 г.,3 июня 1907 г.,2,Россия на рубеже XIX—XX вв,
Слова «Вам нужны великие потрясения — нам нужна великая Россия!» принадлежат,В.И. Ленину,П.А. Столыпину,С.Ю. Витте,П.Н. Милюкову,2,Россия на рубеже XIX—XX вв,
Что из названного было одной из целей России в Первой мировой войне?,усиление влияния на Балканах,стремление расширить влияние в Юго-Восточной Европе,усиление влияния в Манчьжурии,расширение территорий на Кавказе,1,Россия на рубеже XIX—XX вв,1.0
За немедленное заключение демократического мира со всеми воюющими державами выступили,большевики,эсеры,кадеты,черносотенцы,1,Россия на рубеже XIX—XX вв,
Отметьте знаменитых актеров немого кино начала XX в.,А.Голубкина и А. Скрябин,Ф.Шаляпин и А. Нежданова,В. Холодная и И. Мозжухин,В. Комиссаржевская и В. Немирович-Данченко,3,Россия на рубеже XIX—XX вв,
В каком ряду названы поэты-символисты?,"А. Блок, В. Брюсов","В. Хлебников, В. Маяковский","Н. Гумилев, О. Мандельштам","С. Есенин, Н. Клюев",1,Россия на рубеже XIX—XX вв,
Промышленный переворот в России завершился,к 70-м гг. XIX в.,к 90-м гг. XIX в.,к 1900 г.,к 1910 г,2,Россия на рубеже XIX—XX вв,1.0
По инициативе начальника Московского охранного отделения С.В. Зубатова были созданы,церковно-приходские школы,легальные рабочие организации,подпольные политические организации,охранные отделения в полиции,2,Россия на рубеже XIX—XX вв,
"Требования подготовки и осуществления пролетарской революции, установления диктатуры пролетариата и построения социалистического общества содержались в программе",РСДРП,партии кадетов,неонародников,черносотенцев,1,Россия на рубеже XIX—XX вв,
Сражение в Цусимском проливе в ходе русско-японской войны произошло,5—30 сентября 1904 г.,—25 февраля 1905 г.,14—15 мая 1905 г.,27 июля 1904 г.,3,Россия на рубеже XIX—XX вв,
Что из названного было одной из причин революции 1905 г.?,крестьянское малоземелье,сохранение сословного строя,недовольство крестьян общинными порядками,попытки государства ускорить разрушение общины ,1,Россия на рубеже XIX—XX вв,
"Изменения в Основные законы Российской империи, касающиеся правового статуса Государственной думы и Государственного совета, были внесены",в 1905 г.,в 1906 г.,в 1907 г.,в 1910 г.,2,Россия на рубеже XIX—XX вв,
"Участок земли, выделенный крестьянину при выходе из общины, с сохранением его двора в деревне назывался",хутором,отрубом,артелью,отрезком,2,Россия на рубеже XIX—XX вв,
Какое из названных событий произошло 1 августа 1914 г.?,Брусиловский прорыв,назначение верховным главнокомандующим императора Николая II,Германия объявила войну России,в Сербии был убит австрийский наследник,3,Россия на рубеже XIX—XX вв,
Кто из названных русских художников конца XIX — начала XX в. не входил в творческое общество «Мир искусства»?,А.Н. Бенуа,К.А. Сомов,Н.К. Рерих,К.А. Коровин,4,Россия на рубеже XIX—XX вв,
В каком ряду перечислены имена талантливых крестьянских поэтов начала XX в.?,"К. Бальмонт, А. Блок, В. Брюсов","С. Есенин, Н. Клюев, С. Клычков","Н. Гумилев, А. Ахматова, О. Мандельштам","В. Хлебников, Д. Бурлюк, А. Крученых",2,Россия на рубеже XIX—XX вв,
Мировой экономический кризис разразился,в 1895 г.,в 1897 г.,в 1900 г.,в 1905 г.,3,Россия на рубеже XIX—XX вв,
Партия социалистов-революционеров (эсеров) была образована,в 1897 г.,в 1900 г.,в 1902 г.,в 1905 г.,3,Россия на рубеже XIX—XX вв,
"Требования свержения самодержавия, социализации земли, установления «народовластия» и федеративного государства содержались в программе партии",большевиков,меньшевиков,кадетов,эсеров,4,Россия на рубеже XIX—XX вв,
Россия и Китай заключили секретный договор об оборонительном союзе,в 1896 г.,в 1897 г.,в 1898 г.,в 1900 г.,1,Россия на рубеже XIX—XX вв,
Что из названного является одним из результатов революции 1905—1907 гг.?,создание конституционной монархии,ликвидация помещичьего землевладения,отмена выкупных платежей,введение 8-часового рабочего дня на предприятиях,3,Россия на рубеже XIX—XX вв,
"Отметьте, о ком идет речь. Родился в обедневшей дворянской семье. В 1889 г. окончил юридический факультет Петербургского университета. Отказавшись от профессорской карьеры, в 1890 г. поступил на службу в Министерство финансов, а в 1905 г. стал управляющим Крестьянским и Дворянским земельными банками. В 1906 г. перешел на службу в частные банки, стал крупным финансистом и промышленником; директор Русско-Азиатского банка, член правления акционерного общества «Промет», ряда заводов, железных дорог и речных пароходств.",П. Третьяков,А. Путилов,А. Гучков,С. Морозов,2,Россия на рубеже XIX—XX вв,
Какое из названных событий произошло в ходе кампании 1915 г.?,удачное наступление на фронте русских войск под командованием А.А. Брусилова,"русская армия оставила Галицию, польские земли, входившие в состав империи, часть Белоруссии",поражение русских армий под командованием А.В. Самсонова в Восточной Пруссии,взятие русской армией Эрзерума и Трапезунда,2,Россия на рубеже XIX—XX вв,
Что из названного характеризует реформы П.А. Столыпина?,ограничение помещичьего землевладения,разработка проекта укрепления общинного землепользования,отмена сословий,разрушение общины,4,Россия на рубеже XIX—XX вв,1.0
"Архитектор, внесший огромный вклад в развитие русского (московского) модерна",С. Коненков,Ф. Шехтель,И. Жолтовский,А. Воронихин,2,Россия на рубеже XIX—XX вв,
"Художник, автор картины «Заседание Государственного совета»",А.Н. Бенуа,Н.К. Рерих,К.А. Коровин,И.Е. Репин ,4,Россия на рубеже XIX—XX вв,
В состав Совнаркома с ноября 1917 г. по март 1918 г. входили представители партий,большевиков и меньшевиков-интернационалистов,большевиков и левых эсеров,большевиков и правых эсеров,большевиков и кадетов,2,Великая российская революция. 1917—1921 гг.,
Высший орган власти в России в марте—октябре 1917 г.,Временное правительство,Петроградский совет,съезд Советов,Учредительное собрание,1,Великая российская революция. 1917—1921 гг.,
Что из названного характеризует политику «военного коммунизма»?,введение демократических свобод для всех категорий населения,введение натурального обмена при отмене свободной торговли,денационализация крупных предприятий,разрешение деятельности частных банков,2,Великая российская революция. 1917—1921 гг.,1.0
"Определите одну из причин, обусловивших победу большевиков в Гражданской войне.",политика «военного коммунизма»,введение всеобщих демократических прав и свобод,поддержка крестьянством советской власти,пропаганда идей справедливого государства для трудового народа,1,Великая российская революция. 1917—1921 гг.,1.0
За создание однородного социалистического правительства летом 1917 г. Выступал,А.И. Гучков,П.Н. Милюков,В.И. Ленин,Ю.О. Мартов,4,Великая российская революция. 1917—1921 гг.,
Какое из названных событий произошло в конце мая 1918 г.?,мятеж левых эсеров в Москве,мятеж Чехословацкого корпуса,мятеж юнкеров в Москве,восстание на броненосце «Князь Потемкин Таврический»,2,Великая российская революция. 1917—1921 гг.,
Первая Конная армия была создана для борьбы,с войсками Колчака,с войсками Деникина,с войсками Юденича,с войсками Врангеля,2,Великая российская революция. 1917—1921 гг.,
"Кто из названных деятелей революции назвал разгон Учредительного собрания «открытым, явным, грубым»?",Л.Д. Троцкий,Я.М. Свердлов,М. Спиридонова,В.М. Чернов,4,Великая российская революция. 1917—1921 гг.,
Отметьте одно из положений деникинского проекта земельной реформы.,частная собственность на землю,введение продовольственной диктатуры,введение института временнообязанных крестьян,передача земли общине,1,Великая российская революция. 1917—1921 гг.,
Отметьте самый популярный лозунг в российском обществе осенью 1917 г.,«Вся власть Учредительному собранию!»,«Вся власть Советам!»,«Землю — крестьянам!»,«Долой министров-капиталистов!»,1,Великая российская революция. 1917—1921 гг.,
Когда был заключен сепаратный мирный договор с Германией?,28 ноября 1917 г.,3 февраля 1918 г.,марта 1918 г.,6 июля 1918 г.,3,Великая российская революция. 1917—1921 гг.,
Военное вмешательство иностранных государств во внутренние дела другого государства называется,экспроприацией,интервенцией,эскалацией,аннексией,2,Великая российская революция. 1917—1921 гг.,
Комуч был создан из,бывших членов Учредительного собрания,офицеров чехословацкого корпуса,сторонников адмирала А.В. Колчака,бывших членов Временного правительства,1,Великая российская революция. 1917—1921 гг.,
Одной из причин Гражданской войны в России было недовольство части населения,свержением монархической власти,политикой диктатуры пролетариата,начавшейся интервенцией,«Декретом о земле»,2,Великая российская революция. 1917—1921 гг.,1.0
Какие из названных дат являются хронологическими рамками советско-польской войны?,июнь — ноябрь 1918 г.,март 1919 г. — март 1920 г.,апрель — октябрь 1920 г.,март 1920 г. — март 1921 г.,3,Великая российская революция. 1917—1921 гг.,
Кто из названных военачальников был командармом Первой Конной армии?,К.Е. Ворошилов,С.М. Буденный,М.В. Фрунзе,М.Н. Тухачевский,2,Великая российская революция. 1917—1921 гг.,
Высший орган государственной власти после Октября 1917 г.,Учредительное собрание,Верховный Совет,Совет Народных Комиссаров,Всероссийский съезд Советов рабочих и солдатских депутатов,4,Великая российская революция. 1917—1921 гг.,
Что из названного является одной из причин Гражданской войны?,недовольство диктатурой пролетариата,принятие первой Конституции,вмешательство иностранных государств,исключение меньшевиков и правых эсеров из состава ВЦИК,1,Великая российская революция. 1917—1921 гг.,
Кто из перечисленных участников Гражданской войны возглавлял анархо-крестьянское движение на Украине?,В. Чапаев,Г. Котовский,Н. Махно,Н. Щорс,3,Великая российская революция. 1917—1921 гг.,
Первое коалиционное Временное правительство было создано,в марте 1917 г.,в мае 1917 г.,в июле 1917 г.,в сентябре 1917 г.,2,Великая российская революция. 1917—1921 гг.,
По закону о социализации земля была передана,крестьянской общине,в собственность государства,в частную собственность крестьян,в собственность земств,2,Великая российская революция. 1917—1921 гг.,
Продразверстка - это,монополия государства на производство и продажу хлеба,норма сдачи хлеба государству,всеобщая трудовая повинность,дневная норма рабочего,2,Великая российская революция. 1917—1921 гг.,
"Кто из названных руководителей белого движения встал во главе Добровольческой армии, созданной на Дону в конце 1917г.?",П. Врангель,А. Каледин,А. Колчак,Л. Корнилов,4,Великая российская революция. 1917—1921 гг.,
Что из названного является целью создания комитетов бедноты в 1918 г.?,контроль пролетариата за производством на мелких и средних промышленных предприятиях,помощь продовольственным отрядам реквизировать хлеб у крестьян,создание системы образования на селе,помощь местным органам советской власти в проведении мобилизации в Красную армию ,2,Великая российская революция. 1917—1921 гг.,
Что из названного является одной из причин революционных событий в феврале 1917 г.?,деятельность Государственной думы,дестабилизирующее влияние войны на экономическое и политическое развитие страны,принятие Николаем II командования войсками,активная деятельность земств против самодержавия,2,Великая российская революция. 1917—1921 гг.,1.0
Какое событие произошло раньше других?,расстрел демонстрации в Петрограде,создание Временного правительства,созыв I съезда Советов рабочих и солдатских депутатов,Корниловский мятеж,2,Великая российская революция. 1917—1921 гг.,1.0
Что из названного было характерно для национальной политики Временного правительства?,восстановление автономии Финляндии,провозглашение автономного правления в Польше,признание права национальных окраин на самоопределение вплоть до отделения от Российского государства,разрешение национальным окраинам разрабатывать свои конституции,1,Великая российская революция. 1917—1921 гг.,
Какое из названных событий произошло 14 сентября 1917 г.?,Л. Корнилов предпринял наступление на Петроград,открылся I съезд Советов рабочих и солдатских депутатов,начались сепаратные переговоры с Германией,приступило к работе Демократическое совещание в Петрограде,4,Великая российская революция. 1917—1921 гг.,
Для борьбы с контрреволюцией и саботажем советская власть создала,ГОЭЛР,комбеды ,ВСНХ,ВЧК,4,Великая российская революция. 1917—1921 гг.,
Отметьте дату выступления генерала Л.Г. Корнилова.,2—15 августа 1917 г.,7—30 августа 1917 г.,14—22 сентября 1917 г.,10—16 октября 1917 г.,2,Великая российская революция. 1917—1921 гг.,
Какое из названных событий произошло в июле 1918 г.?,наступление Добровольческой армии на Москву,принятие Декрета о земле,покушение на В.И. Ленина,принятие Конституции РСФСР,4,Великая российская революция. 1917—1921 гг.,
Насильственное присоединение территории другого государства— это,аннексия,контрибуция,репарация,репатриация,1,Великая российская революция. 1917—1921 гг.,
Семья последнего российского императора Николая II была расстреляна,7 июля 1918 г.,30 августа 1918 г.,5 сентября 1918 г.,30 сентября 1918 г.,1,Великая российская революция. 1917—1921 гг.,
Укажите одну из причин поражения Белого движения в Гражданской войне.,слабое финансовое обеспечение войск,низкий профессиональный уровень солдат и офицеров,требование восстановить «единую и неделимую» территорию Российской империи,политика «военного коммунизма»,3,Великая российская революция. 1917—1921 гг.,
"«Омский диктатор», расстрелянный красными в 1920 г.",А. Дутов,П. Врангель,А. Колчак,А. Деникин,3,Великая российская революция. 1917—1921 гг.,
Декрет о мире содержал следующее положение,возвращение к довоенным границам воюющих государств,денежная компенсация Германии за согласие заключить мир,необходимость усиления позиций Антанты и принуждение Германии подписать мир,заключение мира любой ценой,1,Великая российская революция. 1917—1921 гг.,
Россия была провозглашена республикой,сентября 1917 г.,5 сентября 1917 г.,26 октября 1917 г.,6 января 1918 г.,1,Великая российская революция. 1917—1921 гг.,
В каком году Н.Н. Юденич предпринял наступление на Петроград?,в 1917 г.,в 1918 г.,в 1919 г.,в 1920 г.,3,Великая российская революция. 1917—1921 гг.,
II Всероссийский съезд Советов принял,Декларацию прав трудящегося и эксплуатируемого народа,Декрет об уничтожении сословий и гражданских чинов,Декрет о земле,Конституцию РСФСР,3,Великая российская революция. 1917—1921 гг.,
"Командующий корпусом, пытавшийся оказать поддержку А.Ф. Керенскому в походе на Петроград в октябре 1917 г.",П.Н. Краснов,А.И. Деникин,Л.Г. Корнилов,П.П. Врангель,1,Великая российская революция. 1917—1921 гг.,
"Партия или общественная группа, выступающая против мнения большинства или господствующей точки зрения, выдвигающая иное решение существующих проблем, называется",олигархической,коалиционной,сепаратистской,оппозиционной,4,Великая российская революция. 1917—1921 гг.,
В мае — июне 1919 г. началось крупномасштабное наступление войск под командованием,А. Деникина,Н. Юденича,А. Колчака,П. Врангеля,1,Великая российская революция. 1917—1921 гг.,
"Мир с Польшей, по которому Россия потеряла Западную Украину и Западную Белоруссию, был подписан",в апреле 1920 г. ,в июле 1918 г.,в октябре 1920 г.,в марте 1921 г.,4,Великая российская революция. 1917—1921 гг.,
Что из названного послужило поводом к официальному объявлению «красного террора»?,сопротивление крестьян продовольственным отрядам,убийство немецкого посла Мирбаха,покушение на жизнь В.И. Ленина,начало интервенции,3,Великая российская революция. 1917—1921 гг.,
Что из названного является одной из причин иностранной военной интервенции?,национализация помещичьей земли,отказ советского правительства от выплаты царских долгов,установление продовольственной диктатуры,стремление поддержать Чехословацкий корпус,2,Великая российская революция. 1917—1921 гг.,1.0
Председателем Петроградского Совета в сентябре 1917 г. был избран,И.В. Сталин,Л.Д. Троцкий,Н.И. Бухарин,В.И. Ленин,2,Великая российская революция. 1917—1921 гг.,
Открытие Учредительного собрания состоялось,в сентябре 1917 г.,в ноябре 1917 г.,в январе 1918 г.,в марте 1918 г.,3,Великая российская революция. 1917—1921 гг.,
Что из названного является одним из последствий выступления генерала Л.Г. Корнилова в августе 1917 г.?,переход власти в руки Петроградского Совета,создание Директории («Совета пяти»),проведение выборов в Учредительное собрание,введение 8-часового рабочего дня на предприятиях,2,Великая российская революция. 1917—1921 гг.,1.0
"Договор, по которому иностранные фирмы получали возможность заниматься производственной деятельностью на территории России",кооперация,коалиция,конвенция,концессия,4,СССР на путях строительства нового общества,
"Военно-морская база, моряки которой восстали в 1921 г.",Свеаборг,Севастополь,Кронштадт,Владивосток,3,СССР на путях строительства нового общества,
Что из названного характеризует новую экономическую политику?,продразверстка,продналог,введение рабочего контроля,всеобщая трудовая повинность,2,СССР на путях строительства нового общества,1.0
Советское правительство аннулировало Брестский мир,ноября 1918 г.,13 ноября 1918 г.,23 февраля 1929 г.,5 июля 1936 г.,2,СССР на путях строительства нового общества,
План автономизации как основу объединения советских республик выдвинул,И.В. Сталин,В.И. Ленин,Ф.Э. Дзержинский,Л.Д. Троцкий ,1,СССР на путях строительства нового общества,
Пакт Молотова—Риббентропа был заключен,9 августа 1939 г.,3 августа 1939 г.,1 сентября 1939 г.,15 сентября 1939 г.,2,СССР на путях строительства нового общества,
Что из названного является причиной внутрипартийной борьбы в 20-е гг. XX в.?,идейные расхождения среди лидеров партии по вопросу о путях строительства социализма в СССР,увеличение количества противников построения социализма среди высшего руководства,стремление ряда руководителей создать правительственную коалицию из нескольких социалистических партий,разногласия среди руководителей по вопросу необходимости подготовки мировой революции,1,СССР на путях строительства нового общества,1.0
По делу военных в 1937 г. были расстреляны,И.Э. Якир и В.К. Блюхер,Г.Е. Зиновьев и Л.Б. Каменев,Н.И. Бухарин и А.И. Рыков,Н.И. Ежов и Г.Г. Ягода,1,СССР на путях строительства нового общества,
Что из названного является одной из причин сворачивания новой экономической политики?,нэп не давал экономического эффекта,нэп привел к финансовому кризису,рыночная основа нэпа противоречила диктаторской сущности власти большевиков,основной целью нэпа было восстановление капитализма,3,СССР на путях строительства нового общества,1.0
Автор скульптуры «Рабочий и колхозница»,В.И. Мухина,С.Т. Коненков,М.Г. Манизер,А.А. Дейнека,1,СССР на путях строительства нового общества,
"Установленный государством обязательный платеж, взимаемый с крестьянских хозяйств в годы нэпа",продразверстка,продналог ,экспроприация,оброк,2,СССР на путях строительства нового общества,
"Отметьте, о ком идет речь. Он родился в семье зажиточного землевладельца-арендатора. В 1888 г. сблизился с членами социал-демократического «Южнорусского рабочего союза». В 1898 г. был арестован и более двух лет пробыл в тюрьме. В 1902 г. бежал за границу. В Лондоне познакомился с Лениным, оценившим его как «очень энергичного и способного товарища». В 1917 г. избран председателем Петроградского Совета. В «Письме к съезду» Ленин назвал его «самым способным человеком в настоящем ЦК». В 1927 г. был исключен из партии, сослан в Алма-Ату, в 1929 г. выслан из СССР, в 1932 г. лишен советского гражданства.",Л.Д. Троцкий,Л.Б. Каменев,Г.Е. Зиновьев,Я.М. Свердлов,1,СССР на путях строительства нового общества,
В каком году был создан СССР?,в 1922 г.,в 1924 г.,в 1936 г.,в 1938 г.,1,СССР на путях строительства нового общества,
В ходе первых пятилеток большое внимание уделялось подъему,сельского хозяйства,легкой промышленности,тяжелой промышленности,сферы обслуживания,3,СССР на путях строительства нового общества,
В каком году СССР был принят в Лигу Наций?,в 1923 г.,в 1933 г.,в 1934 г.,в 1939 г. ,3,СССР на путях строительства нового общества,
Что из названного является следствием политических репрессий в СССР?,построение социализма в СССР,укрепление международного авторитета СССР,снижение боеспособности Красной Армии,увеличение количества «врагов народа»,3,СССР на путях строительства нового общества,1.0
В результате внутрипартийной борьбы в 20-е гг. укрепились позиции,Л.Д. Троцкого,И.В. Сталина,М.И. Калинина,Л.П. Берии,2,СССР на путях строительства нового общества,
"Движение ударников, пытающихся увеличить производительность труда, получило название по имени",А. Стаханова,П. Ангелиной,А. Бусыгина,М. Мазая,1,СССР на путях строительства нового общества,
