0,1,2,3,4,5
"У кого из ""вампиров"" кровь пьют только самки?",Летучие мыши, Пиявки,Комары, Клещи,3
В каком российском городе к его 300-летию был открыт памятник Зайцу?,Москва, Воронеж,Санкт-Петербург, Тула,3
Для чего зайцу его большие уши?,Для красоты, Обмахиваться в жару,"Они как рупоры, зайцу слышны даже самые тихие шорохи", Для устрашения врагов-хищников,3
Что обычно охотники замечают за зайцем?,Он барабанит,Он трубит, Он бренчит, Он напевает,1
Что при травле зайца кричали охотники?,«Агу!», «А-та-та!», «Ура!»,«Ату!»,4
Какого зайца НЕ бывает?,Тумак, Русак, Беляк,Чувак,4
Кто такой агути?,Сутулый заяц, Лысый заяц, Хромой заяц,Горбатый заяц,4
Заячьей картошкой в народе называют:,Гриб дождевик,Морковь, Капусту, Кору деревьев,1
"В русских сказках лисичка-сестричка, коза-дереза, а зайчик-... Кто?",Побегайчик,Попугайчик, Петляйчик, Обгрызайчик,1
Какая российская автономия полностью окружена Краснодарским краем?,Хакасия, Индушетия, Удмуртия,Адыгея,4
"Где жил старик со своею старухой из сказки А.С. Пушкина ""Сказка о рыбаке и рыбке""?",в избушке, в лачужке, в шалаше,в землянке,4
"Какой рыболовной снастью ловил рыбу старик из сказки А.С. Пушкина ""Сказка о рыбаке и рыбке""?",Невод,Удочкой, Бреднем, Сачком,1
"За какую плату работал Балда у попа в сказке А.С. Пушкина ""Сказка о попе и работнике его Балде""?",Три щелчка по лбу,Три подзатыльника, Три поцелуя, Три рубля,1
"Сколько лет рыбачил старик из сказки А.С.Пушкина ""Сказка о рыбаке и рыбке""?",43,33, 23, 53,2
"Какую позицию на поле называют ""голкипер""?",Защитник,Вратарь, Полузащитник, Нападающий,2
Официальный язык государства Израиль?,Фарси,Иврит, Русский, Арабский,2
Как называется детеныш норки?,Котенок, Белек,Щенок, Норик,3
В артериях кровь движется...?,Сверху вниз, От органов к сердцу, Снизу вверх,От сердца к органам,4
От какого дерева появляются желуди?,Каштан, Ясень, Клен,Дуб,4
Где муха-цокотуха нашла денежку?,В поле,На лугу, В лесу, Во дворе,1
"Как звали крысу в сказке ""Золотой ключик""?",Шушара,Чучундра, Мымра, Шуршелла,1
Маленький мук из сказки был...?,Ребенком, Лиллипутом,Карликом, Подростком,3
"Чем промышлял Дуремар из сказки ""Золотой ключик""?",Пиявками,Лягушками, Бабочками, Стрекозами,1
Где сидит Доктор Айболит?,В Ленинграде,Под деревом, В домике, В больнице,2
Что такое обувница?,Предмет мебели для обуви,Воровка, Ложка для обуви, Работница обувной,1
Корюшка - это...,Птичка,Рыбка, Крючок, Растение,2
В какое море впадает Жёлтая река?,Ионическое море,Жёлтое море, Чёрное море, Каспийское море,2
Кто был главным врагом трех поросят?,Волк,Троллль, Мышь, Мясник,1
"Какая планета совершает 1 оборот вокруг солнца со скоростью 47,9 км/с",Марс,Меркурий, Юпитер, Сатурн,2
Какого города нет в Казахстане?,Шымкент, Караганда,Самарканд, Пвлодар,3
Кем по образованию был Антон Павлович Чехов?,Врач,Юрист, Учитель, Дипломат,1
Какой из театров Москвы носит имя А.П. Чехова?,МХАТ (МХТ),Большой театр, Малый театр, Театр «Сатирикон»,1
Как звали тонкого в рассказе А.П. Чехова «Толстый и тонкий»?,Акакий, Нафанаил,Порфирий, Ермолай,3
Кому из обитателей палаты №6 в одноименном рассказе А.П.Чехова разрешалось выходить из флигеля и больничного двора на улицу?,Громову, Сортировщику, Паралитику,Моисейке,4
Сестры с каким именем не было среди героинь чеховских «Трёх сестёр»?,Анна,Мария, Ирина, Ольга,1
Какой из этих литературных шедевров с четвероногими героями принадлежит перу А.П. Чехова?,«Каштанка»,«Белый пудель», «Му-му», «Белый Бим Чёрное Ухо»,1
Рассказ А.П.Чехова о несчастном ревматике.,Сапоги,Случай из практики, Хирургия, Припадок,1
В какой пьесе А.П. Чехова герой обращался к шкафу с эпитетом «многоуважаемый»?,«Три сестры»,«Вишневый сад», «Чайка», «Дядя Ваня»,2
Как звали младшего сына легендарного комдива Василия Ивановича Чапаева?,Иван,Аркадий, Евгений, Семён,2
Чему равна сумма чисел от 0 до 100 включительно?,3525,5050, 1000, 7550,2
Какой буквой физики обозначают ускорение свободного падения?,f,g, n, m,2
Кто из этих российских императоров и императриц правил раньше остальных?,Елизавета Петровна, Петр III,Анна Иоановна, Екатерина II,3
Как называл народ медную монету в 3 копейки после 40 годов XIX века?,Гривенный,Гривенник, Гривна, Грош,1
На борту какого линкора ВМФ США был подписан акт о капитуляции Японии во второй мировой войне?,"""Висконсин""","""Миссури"""," ""Айова"""," ""Нью-Джерси""",2
"Из произведений какого писателя физики заимствовали слово ""кварк""?",Льюис Кэррол, Уильям Теккерей,Джеймс Джойс, Уильям Фолкнер,3
Какой европейский город раньше носил название Лютеция?,Тулуза,Париж, Милан, Лондон,2
"Сенатором какого штата был Ал Гор до того, как стал вице-президентом США?",Арканзас, Алабама, Миссисипи,Теннесси,4
В какие годы строился Колизей?,260-300,72-80, 580-605, 1085-1124,2
Изобретатель тачки?,Пифагор,Паскаль, Архимед, Эдисон,2
"Назовите греческого атлета, выигравшего марафон на Первой Олимпиаде нашего времени.",Костакис, Клиридис,Луис, Лумидис,3
Что из перечисленного является единственным колониальным владением Британии в Европе?,Монако,Гибралтар, Андорра, Люксембург,2
Облик какой женщины дошёл до наших дней благодаря скульптору Тутмесу?,Клеопатры, Далилы, Семирамды,Нефертити,4
"Кто из этих известных актеров и режиссеров, народных артистов СССР, стал министром культуры своей страны?",Богдан Ступка,Донатас Банионис, Вия Артмане, Роберт Стуруа,1
Кто из этих людей не был писателем ?  A: Во B: Ге C: Ле D: По ,Во, По, Ле,Ге,4
Кто стал самым молодым маршалом Советского Союза в истории СССР?  ,М.Н.Тухачевский,Г.К.Жуков, В.К.Блюхер, К.К.Рокоссовскийий,1
Какой из этих городов до воссоединения Германии был в составе ГДР?  A: Трир B: ВейБрауншвейгмар C:  D: Ганновер ,Ганновер,Веймар, Трир, Ганновер,2
Как назывался первый атомный ледокол СССР?,Ленин,Сталин, Свердлов, Киров,1
В какой стране на население наводили ужас тонтон-макуты?,Гаити,Куба, Парагвай, Гватемала,1
Как называлась столица государства ацтеков?,Монтесума, Кетцалькоатль, Мехико,Теночтитлан,4
Назовите административный центр (столицу) штата Флорида,Майами, Джуно,Таллахасси, Сакраменто,3
Какое российское флотское звание было у Витуса Беринга?,Капитан-командор,Контр-адмирал, Вице-адмирал, Капитан 1 ранга,1
Что означает количество пятнышек у божьей коровки?,Возраст, Пол,Вид, Дату рождения,3
Какая пара этих знаменитых писателей состоит из родных братьев?  ,Ирвин и Бернард Шоу,Генрих и Томас Манны, Ян и Пабло Неруды, Грэм и Александр Грины,2
Кому и в какой глаз впился князь Гвидон в образе комара?,Поварихе в правыйихе в правый,Ткачихе в левый, Поварихе в левый, ткачихе в правый,1
"Игроков какой команды называют ""армейцами""",Динамо,"""ЦСКА""", Спартак, Локомотив,2
К какому семейству рыб принадлежит пескарь?,Щуковые,Карповые, Бычковые, Колюшковые,2
Кто из этих астрономов 1 ноября 1977 года открыл Хирон - малую планету Солнечной системы?,Дирк Брауэр, Карл Сейферт, Жан Пикар,Чарльз Коуэл,4
Кто из этих русских писателей прожил самую долгую жизнь?,И. А. Бунин,Л. Н. Толстой, М. М. Пришвин, П. П. Бажов,1
"При введении в России табели о рангах право на личное дворянство имели даже чиновники низшего, 14-го класса. А с какого класса это право сохранилось после 1845 г.?",9,8, 10, 11,1
Какой советский орден был инкрустирован бриллиантами?,Орден Ленина, Орден Красного Знамени,Орден Победы, Орден Красной Звезды,3
Под каким названием всему миру была известна разведслужба бывшей ГДР?,МИ-6,ШТАЗИ, АНБ, МОССАД,2
Сказочный Доктор?,Окулист,Айболит, Фельдшер, Медик,2
Куда отправляет Военкомат?,Отбывать,Служить, Отдыхать, Работать,2
Сколько циферблатов у курантов Спасской башни?,4,2, 6, 8,1
"Что было изображено на торте, который в начале войны преподнесли Адольфу Гитлеру на день рождения?",Книга Mein Kampf,Кремль, Кремль, Портрет фюрера,2
За какую команду гонок Формулы-1 выступает Михаил Шумахер?,Ferrari, McLaren, Benetton,Mercedes GP,4
"Какая из этих пород уток является яичной, а не мясной? ",Пекинские,Индийские бегуны, Серые украинские, Черные белогрудые,2
В каком году советские войска одержали победу в Курской битве?,1939, 1942,1943, 1952,3
Кто изображен на правом плече Марадоны?,Фидель Кастро, Ким Чен Ир, Пеле,Че Гевара,4
Что не является знаком препинания?,Запятая, Вопросительный знак, Восклицательный знак,Твердый знак,4
Что не является кисломолочным продуктом?,Майонез,Сыр, Сметана, Творог,1
Сообразительность?,сметка, сметка,сметка, сметка,3
Какой из этих цветов не относится к тёплым?,Оранжевый, Коричневый, Красный,Синий,4
Цветы какого из этих растений не голубого цвета?,Василек, Колокольчик, Незабудка,Лютик,4
"Что означает слово ""бедуин"" на арбском языке?",Обитатели пустыни,Искатели воды, Путешественники, Корабли пустыни,1
 Небольшие скалистые острова у невысоких берегов морей,риф, ледники, атоллы,шхерыы,4
Кто стал президентом российской федерации в 2012 году?,Медведев, Прохоров,Путин, Шабельский,3
BanTis,фирма,человек, прозвище, фамилия,1
"Какое воинское звание было у Хозе в опере ""Кармен""",Майор, Лейтенант, Солдат,Сержант,4
"Где Николай Чернышевский написал свой роман ""Что делать?""",Дома, В ссылке,В тюрме, На каторге,3
Ворот пиджака портной начинает отмерять с...,1,7 позвонка, 3, 4,2
Год основания группы Rammstein,1994,1995, 2008, 1973,1
Фамилия вокалиста Linkin Park,Бенингтон, Шинода, Дёрст,Беннинтгон,4
Сколько атомов кислорода содержится в молекуле озона?,4, 2,3, 6,3
Сколько горошин войдут в стакан ?,горшины не ходят,столько скоко влязят, ни сколько, смотря скоко горошины,1
Много людей сопровождают в последний путь своего родственника/знакомого. Как это называется?,упокоение,похороны, смерть, погребение,2
Какому коню в зубы не смотрят?,Жареному, Горем убитому, С кариесом,Дарёному,4
Доброкачественная опухоль надпочечников,липохромацитома,феохромацитома, саркома, аденомиома,2
Уровень материнской смертности определяется как число погибших матерей на:,100 000 беременностей, 1000 живорожденных, 1000 беременностей,100 000 живорожденных,4
В каком году родилась Селена Гомес?,В 1992 году.,В 1989 году., В 1993 году., В 1999 году.,1
На какой реке стоит город Саратов?,Кама, Дон, Обь,Волга,4
"За что тянул себя барон Мюнхгаузен, чтобы выбраться из тресины?",за ухо, за язык, за голову,за волосы,4
Сколько родных братьев и сестёр было у Рона?,5,6, 4, 3,2
В какой из этих столиц союзных республик раньше всего появилось метро?,Ереван,Тбилиси, Баку, Минск,2
В форме какого животного обычно делают копилки для монет?,Корова, Броненосец, Свинья,Свинья,4
На окошке сидит кошка всё как у кошки но не кошка.,тигр,кот, котёнок, дикая кошка,2
В каком образе бог Вишну не появлялся на земле?,Черепахи, Рыбы, Вепря,Слона,4
"Как заканчивается выражение ""Врет как...""?",Зеленый змий,Сивый мерин, Розовый слон, Серый заяц,2
Какое устройство применяли во время инквизиции?,португальский башмак,испанский сапог, японские гета, русский валенок,2
Какой из этих регионов - не на территории Италии?,Тоскана, Ломбардия, Умбрия,Савойя,4
Как по-научному называется питьевой спирт?,Метанол,Этанол, Политура, Микстура,2
Какая из этих премий впоследствии была переименована в Государственную премию СССР?,Ломоносовская,Сталинская, Ленинская, Нобелевская,2
В какой области науки проявились выдающиеся способности Софьи Ковалевской?,Математика,Химия, Биология, Философия,1
Какую из этих опер написал Моцарт?,"""Сицилийская вечерня"""," ""Сельская честь""","""Свадьба Фигаро"""," ""Севильский цирюльник""",3
"Какое из этих прозаических произведений, А.С.Пушкин написал от женского имени?","""Выстрел"""," ""Кирджали"""," ""Египетские ночи""","""Рославлев""",4
Из какого меxа сделаны шапки королевскиx гвардейцев Великобритании?,Медвежий,Волчий, Овечий, Соболиный,1
"Назовите вслед за Н. В. Гоголем вторую беду России, кроме дорог ?",Дураки,Умники, Пьяницы, Олигархи,1
Как иначе называют гевею?,виниловое дерево,резиновое дерево, нейлоновое дерево, пластмассовое дерево,2
Что у моряков называется камбузом?,Кухня,Машинное отделение, Мостик капитана, Кладовая,1
Как звали знаменитого мореплавателя Кука?,Томас,Джеймс, Джон, Джозеф,2
Как звали прославленного английского флотоводца Нельсона?,Горацио,Грегори, Герберт, Георг,1
Чей бюст созерцает Аристотель на портрете Рембрандта?,Сократа,Гомера, Аякса, Геракла,2
"Какие цветы распускаются в парке ""Чаир""?",Розы,Астры, Хризантемы, Ромашки,1
Из какого злака получают манную крупу?,рожь,пшеница, ячмень, просо,2
Какая террористическая организация похитила и убила премьер-министра Италии Альдо Моро?,Коза ностра, Черный сентябрь,Красные бригады, Черные пантеры,3
"Футболист какого амплуа изобрёл «удар скорпиона», отбив мяч в прыжке пятками?",полузащитник, защитник, нападающий,вратарь,4
Как называется группа из пяти фигурок - официальный талисман Олимпийских игр в Пекине?,"""Сыновья победы"""," ""Братья фортуны"""," ""Друзья спорта""","""Дети удачи""",4
Главный герой какого романа Ф.М. Достоевского мечтал стать Ротшильдом?,Подросток,Идиот, Бесы, Братья Карамазовы,1
Кто из этих великих российских архитекторов был ярким представителем стиля барокко?,Монферран,Растрелли, Баженов, Казаков,2
Какой из этих химических элементов был открыт в России?,Рутений,Родий, Тулий, Самарий,1
"Как называется надпись на лицевой или оборотной стороне монеты, медали?",Гурт, Поясниловка,Легенда, Номинал,3
Какое кодовое название было у первого термоядерного взрывного устройства?,Майк,Тринити, Малыш, Толстяк,1
Какой пистолет Остап Бендер обещал дать Кислярскому в романе «Двенадцать стульев»?,наган, маузер,парабеллум, браунинг,3
"Кто написал текст российского гимна «Боже, царя храни»?",Гаврила Державин,Василий Жуковский, Пётр Вяземский, Фёдор Тютчев,2
Кто  добился упразднения ордена тамплиеров в 1312 году?,Филлип IV,Филипп II Август, Филипп II Габсбург, Филлип III,1
"Какой чин имел Лукаш, у которого бравый солдат Швейк был денщиком?",Поручик,Подпоручик, Капитан, Фельдкурат,1
"Какая из этих команд собаке, означает ""смирно""?",Куш!,Тубо!, Апорт!, Фас!,2
"Сколько фишек надо поставить подряд в линию, чтобы одержать победу в рэндзю?",6, 7, 8,5,4
Какой крепёжный не имеет резьбы?,болт, шуруп,шплинт, гайка,3
На чём рисуют специалисты по латте-арт?,На кофейной этикетке,На кофейной пенке, На кофейной чашке, На кофейном дереве,2
Кому в пожизненное пользование была предоставлена скрипка работы Антонио Страдивари?,Е. Мравинскому,В. Спивакову, М. Ростроповичу, И. Брилю,2
Что несколько лет назад обнаружил в Мёртвом море израильский учёный Соломон Вассер?,грибы,кораллы, жемчуг, осколок метеорита,1
Какой стране принадлежат Шантарские острова?,Индонезия, Филиппины, Въетнам,Россия,4
Назовите имя и отчество морганатического супруга императрицы Елизаветы Петровны графа Разумовского,Алексей Григорьевич,Алексей Кириллович, Андрей Кириллович, Кирилл Григорьевич,1
"""Заморская провинция"" какой страны до самого последнего времени существовала на территории Китая?",Испания, Нидерланды,Португалия, Франция,3
Героя романа какого из этих писателей звали Ловеласом?,Т. Готье, А. де Мюссе,С. Ричардсон, Ж. Санд,3
Какая олимпийская дистанция плавания самая длинная?,800 м, 2000 м,1500 м, 1000 м,3
Какое животное изображено на гербе Челябинска,Верблюд,Лиса, Волк, Медведь,1
Какая из этих археологических культур относится к мезолиту?,Хассунская,Азильская, Халафская, Перигорская,2
Кто из великих художников Возрождения расписывал Сикстинскую капеллу Ватикана?,Леонардо, Рафаэль,Микеланджело, Тициан,3
Из скольких слогов традиционно состоит хайку?,17,7, 21, 100,1
Денежная единица Узбекистана,Сум,Сум, Сум, Сум,1
Ден.единица ЮАР,Рэнд,Рэнд, Рэнт, Рэнд,1
"Ден.единица(Норвегии,Швеции,Дании,Чехии,Эстонии в 2010 году)",Крона, Крона,Крона, Разменная монета эре,3
Валюта Таджикистана,Сомони,Сомони, Сомони, Сомони,2
"Как назывался первый пассажирский пароход, пересекший Атлантический океан без помощи парусов?",Вега, Альдебаран,Сириус, Альтаир,3
Как называется русский традиционный пирог?,Выпори,Расстегай, Отлупи, Забей,2
"История какого театра началась со спектакля ""Добрый человек из Сезуана""?",Ленком,театр на Таганке," ""Современник"""," ""Табакерка""",2
"Назовите населенный пункт, куда Петр II сослал А. Д. Меньшикова",Тобольск,Березов, Торжок, Кемь,2
Какое произведение Моцарта было завершено другим композитором?,"""Дон Жуан""",Реквием," ""Волшебная флейта"""," ""Свадьба Фигаро""",2
"Их в России 19-го века, называли рыцарями зеленых полей",Шулеры,Шулеры, Шулеры, Шулеры,1
"Кто из этих должностных лиц, заведовал при дворе Екатерины II винными погребами?",Обер-Шенк,Обер-Гофмаршал, Обер-Гофмейстер, Обер-шталмейстер,1
Известная кулинарная передача со строгим ведущим на рен тв.,Адская кухня,Адская кухня, Адская кухня, Адская кухня,1
Какой актёр поменял своё настоящее имя Альберт на Олег?,Олег Анофриев, Олег Даль,Олег Борисов, Олег Анофриев,3
В какой стране зародилась игра кегли?,Голландия, Швейцария, Австрия,Германия,4
Что из этих сооружений стало названием романа М. С. Шагинян?,Теплоцентраль,Гидроцентраль, Газоцентраль, Электроцентраль,2
"Кто сыграл Мальволио в фильме ""Двенадцатая ночь""?",Ильинский, Филиппов,Меркурьев, Яншин,3
Какое вино необходимо для приготовления классического крюшона?,Белое столовое,Мадера, Портвейн, Красное столовое,1
Какому времени года соответствует 2-й месяц французского республиканского календаря брюмер?,Весна, Лето,Осень, Зима,3
С каким животным связана история основания города Ярославля?,Медведь,Скунс, Мышь, Белка,1
Какие московские пруды одно время назывались Пионерскими?,Патриаршие,Борисовкие, Сарлетские, Чистые,1
Сборная какой страны стала в 1991 году первым чемпионом мира по женскому футболу?,Бразилии, России,США, Польши,3
Какую оперу поставил в Мариинском театре Андрон Кончаловский?,"""Война и мир""","""Борис Годунов"""," ""Хованщина"""," ""Евгений Онегин""",1
Какой математический символ ввёл в математику Лейбниц?,интеграл,логарифм, модуль, квадратный корень,1
"Сколько стран одновременно победили на конкурсе ""Евровидение"" в 1969 году?",Две, Три,Четыре, Пять,3
Кто такой речной сверчок?,рыба, насекомое,птица, рептилия,3
"Назовите фамилию режиссера фильма ""9 дней одного года"".",Роом,Ромм, Калатозов, Баталов,2
"Какое прозвище, ставшее фамилией, получил знаменитый шведский хоккеист Свен Юханссон?",Комод, Сейф, Шкаф,Тумба,4
Кто из этих художников написал знаменитый портрет Ф.И. Шаляпина в шубе?,Бродский, Репин, Врубель,Кустодиев,4
В какиx войскаx служил Лев Толстой?,Флот, Пеxота, Кавалерия,Артиллерия,4
На какой реке стоит Тверь?,Днепр, Урал,Волга, Тверь,3
Как по-другому называют койота?,Пустынный волк,Луговой волк, Тропический волк, Лесной волк,2
В каком клубе завершил свою карьеру легендарный хоккеист Уэйн Гретцки?,"""Монреаль Канадиенс"""," ""Филодельфия Флаерс"," ""Уолл-стрит Всет""","""Нью-Йорк Рейнджерс""",4
"Какая книга в русском переводе впервые вышла под названием ""Не любо, не слушай, а врать не мешай""?","""Гаргантюа и Пантагрюэль"""," ""Путешествие Гулливера""","""Приключения Мюнхгаузена"""," ""Робинзон Крузо""",3
Какую рыбу совершенно справедливо можно назвать макрелью?,ставриду, сёмгу, тунца,скумбрию,4
Какой из русских живописцев взял в качестве псевдонима своё детское прозвище?,И.Е.Репин, В.И.Суриков,В.Г.Перов, А.К.Саврасов,3
Как называется яркая звезда - альфа Южной Рыбы?,Ригель, Ахернар,Фомальгаут, Бетельгейзе,3
Кто основал 1250 лет назад во франкском государстве династию Каролингов?,Карл Великий, Хлодвиг I,Пипин Короткий, Карл Мартелл,3
Кого иногда называют спрутом?,осьминога,кашалота, медузу, каракатицу,1
Какой язык является государственным языком Эфиопии?,Тигре, Арабский, Суахили,Амхарский,4
В честь кого получил своё имя популярный салат «Цезарь»?,повара — создателя салата,птицы цесарки, Чезаре Борджиа, Юлия Цезаря,1
"Отдел пищеварительной системы, на стенкаx которого располагаются ворсинки?",Пищевод, Прямая кишка,Тонкая кишка, Желудок,3
Температура абсолютного нуля по Фаренгейту - это:,-273.15 граду, -17.8 градусов,-457.87 градусов, 0 градусов,3
Под каким именем известен любителям советской поэзии Евгений Скурко?,Фёдор Пушка,Максим Танк, Семён Пулемёт, Егор Бронепоезд,2
Как называется третья нота в гамме в соль мажор?,Фа, Ре, Ля,Си,4
Какая порода собак является миниатюрной копией грейхаунда?,Такса, Болонка,Левретка, Чау-чау,3
"Что означает слово ""Баунти""?",Сладость, Кокос,Щедрость, Жадность,3
В каком веке Ватикан перестал издавать Индекс запрещённых книг?,20,17, 18, 19,1
В какой день ноября проводятся каждые четыре года выборы президента США?,В любой по решению Сената, В 1-е воскресенье,В 1-й Вт после 1-го Пн, За 20 дн. до дня Благодарения,3
Что в свободное время мастерил химик Д.И.Менделеев?,Чемоданы,Коврики, Табуретки, Игрушки,1
Какое пиротехническое изделие получило название в честь впервые примененного в Индии средства сигнализации?,петарда, фейерверк,бенгальский огонь, салют,3
Какой российский политик родился в селе Бутка Свердловской области?,Борис Ельцин,Михаил Горбачёв, Сергей Шойгу, Владимир Путин,1
"Кому приходилось заниматься разделыванием под орех, что и породило известный неологизм?",повару, конюху, кузнецу,столяру,4
Какой народный промысел прославил тобольских мастеров?,резьба по кости,чугунное литьё, малахитовые шкатулки, пуховые платки,1
"Кто, по русским летописям, заселил европейскую часть нынешней России после потопа?",Иафет,Хам, Ной, Сим,1
Какой жанр голандской живописи 17 века предназначался для напоминания о быстротечности жизни и неизбежности смерти?,Ванитас,Готика, Бодегон, Бомбочады,1
Как по-научному называется выгорание взрывчатого вещества?,Дефлаграция,Диффамация, Эксплорация, Дефламмизация,1
"Что хакеры называют ""пагой""?",Погоду,Web-страничку, Игру, Пейджер,2
Какой римский император был отцом императора  Тита?,Адриан, Домициан,Веспасиан, Клавдий,3
Как раньше называлась игра в шахматы?,Чачуранга, Матуранга,Чатуранга, Пануранга,3
В какой пустыне в 1923 году были впервые обнаружены остатки гнезд динозавров с лежащими там окаменевшими яйцами?,Гоби,Ливийская, Калахари, Атакама,1
"Что такое ферменты, биологические катализаторы?",Кислоты, Жиры, Паразиты,Белки,4
На какой реке стоит город Прага?,Тиса,Влтава, Лаба, Одра,2
Как в 1987 году назывался город Набережные Челны?,Суслов,Брежнев, Андропов, Подгорный,2
"Известно, что некоторые буквы кириллицы имели и цифровое значение. Чему равнялась буква ""Ферт""?",500,300, 400, 600,1
Какой калибр у автоматической винтовки М16 производства США?,7.56 мм, 9-й калибр, 113 дюйма,5.56 мм,4
Какой бег упомянут в названии короткометражки Леонида Гайдая?,трусца,кросс, стипль-чез, марафон,2
"Что, по мнению Веры из к/ф ""Служебный роман"", делает женщину женщиной?",Обувь,Прическа, Обувь, Макияж,1
Как называется соревнование разных по классу участников с предоставлением форы слабейшим?,Гандикап,Пелетон, Форманта, Ганглиоз,1
Какой напиток входит в коктейль «Свободная Куба»?,виски,ром, бренди, водка,2
